#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,object
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:10.841819Z,25.15,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:11.091623Z,25.16,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:11.342817Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:11.844322Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:12.343467Z,25.19,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:12.846945Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:13.098924Z,25.16,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:13.848971Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:14.350124Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:15.352231Z,25.16,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:15.854762Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:16.105203Z,25.16,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:16.355941Z,25.15,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:16.857489Z,25.16,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:17.10897Z,25.15,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:17.608784Z,25.16,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:18.610152Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:18.86177Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:19.363067Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:19.864457Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:20.616634Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:20.86784Z,25.15,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:22.121102Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:22.877972Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:23.127381Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:23.877626Z,25.16,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:24.128162Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:24.628255Z,25.16,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:25.13264Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:26.132493Z,25.19,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:26.634816Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:26.884817Z,25.19,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:27.634722Z,25.2,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:27.886295Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:28.638118Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:29.139011Z,25.19,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:29.892987Z,25.17,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:30.143295Z,25.19,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:30.894335Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:31.645896Z,25.19,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:32.397615Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:33.650662Z,25.19,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:33.902058Z,25.18,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:34.402712Z,25.19,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:34.652607Z,25.2,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:35.664131Z,25.19,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:35.912142Z,25.2,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:42:36.160611Z,25.21,temperature,raspberrypi,extruder
